Wavelength	MM_3500008.asd
857	 0.100902645809559 
858	 0.100895438720636 
859	 0.100867413878181 
860	 0.10085660107612 
861	 0.100844447160026 
862	 0.100804399146335 
863	 0.100763399284102 
864	 0.100772215364708 
865	 0.100818067571872 
866	 0.100849647408005 
867	 0.100862070110822 
868	 0.10086543575855 
869	 0.100874636470034 
870	 0.100905312076293 
871	 0.100958456642487 
872	 0.100995024202863 
873	 0.101008139927542 
874	 0.101051395896326 
875	 0.10106047149971 
876	 0.101080212268591 
877	 0.101145358391243 
878	 0.101191582245985 
879	 0.101259898984051 
880	 0.101332262437543 
881	 0.101384601833954 
882	 0.101453453774079 
883	 0.101541552685653 
884	 0.101597896040344 
885	 0.101581020324341 
886	 0.101688059081204 
887	 0.101769458722677 
888	 0.101824241162632 
889	 0.101976671733051 
890	 0.102070309219034 
891	 0.102116315122613 
892	 0.102174316575356 
893	 0.102323577134235 
894	 0.102425103074885 
895	 0.102526947926336 
896	 0.102661830312231 
897	 0.102768099636226 
898	 0.102908693290461 
899	 0.103045759618796 
900	 0.103146734870921 
901	 0.103264871549883 
902	 0.103358156028846 
903	 0.103446236330196 
904	 0.10356456231333 
905	 0.103724737583214 
906	 0.103882427638755 
907	 0.10402828546274 
908	 0.104177517085092 
909	 0.104365051712195 
910	 0.104536207916146 
911	 0.10469079550506 
912	 0.104861375286314 
913	 0.105016189979858 
914	 0.105148341184295 
915	 0.105296992486439 
916	 0.105518333701154 
917	 0.105658402056151 
918	 0.105831336914298 
919	 0.106041724923409 
920	 0.1061477125668 
921	 0.106333806378215 
922	 0.106545104766106 
923	 0.106754932437689 
924	 0.107032694494347 
925	 0.107237848820387 
926	 0.107425775963959 
927	 0.107633244376296 
928	 0.107782552775656 
929	 0.107978290488503 
930	 0.108250041632929 
931	 0.108550083967582 
932	 0.10870609200208 
933	 0.10901272894161 
934	 0.10930272882575 
935	 0.109412931653807 
936	 0.109588221274379 
937	 0.109882493624575 
938	 0.110181938748959 
939	 0.110391834780258 
940	 0.110717530481067 
941	 0.110977663075393 
942	 0.111209473625994 
943	 0.111491933582311 
944	 0.111695664755826 
945	 0.111897898706543 
946	 0.112183044231763 
947	 0.112562999163746 
948	 0.11276221634839 
949	 0.112959442665924 
950	 0.113234084569885 
951	 0.113577185139974 
952	 0.113891165124133 
953	 0.114182965600642 
954	 0.114424794123881 
955	 0.114610593066464 
956	 0.114942107106494 
957	 0.115265383654969 
958	 0.115591246229292 
959	 0.115986325665316 
960	 0.116162332499628 
961	 0.116359463762674 
962	 0.116648000826268 
963	 0.116956952982283 
964	 0.117251922918413 
965	 0.117574308331966 
966	 0.11790077227282 
967	 0.118184299882297 
968	 0.118536700195467 
969	 0.118799967888205 
970	 0.118970184732015 
971	 0.119184994505402 
972	 0.119662800618403 
973	 0.120030740390321 
974	 0.1202288143947 
975	 0.120464146562336 
976	 0.120947706938675 
977	 0.121272187826105 
978	 0.121430515664908 
979	 0.121685912952697 
980	 0.122012877865713 
981	 0.122383494975307 
982	 0.122735067508712 
