Wavelength	lmw-9-200003.asd
1174	 0.362635363987101 
1175	 0.363480470368803 
1176	 0.36431944992147 
1177	 0.365150105601512 
1178	 0.365992575914807 
1179	 0.366817844957356 
1180	 0.367632484640948 
1181	 0.368431297151 
1182	 0.369225268032417 
1183	 0.370008607110302 
1184	 0.37076175757536 
1185	 0.371482334517863 
1186	 0.372214321074386 
1187	 0.372931943844292 
1188	 0.37364941172919 
1189	 0.374367177810947 
1190	 0.375079681008436 
1191	 0.37580658704692 
1192	 0.376488300200991 
1193	 0.377145407804663 
1194	 0.377801739949676 
1195	 0.37842623787698 
1196	 0.379048985247423 
1197	 0.379683452801962 
1198	 0.380299044803585 
1199	 0.380900141385622 
1200	 0.38147677435538 
1201	 0.382061553986193 
1202	 0.382637729528484 
1203	 0.383219511051717 
1204	 0.383810231406696 
1205	 0.384376040031726 
1206	 0.384941640354312 
1207	 0.385485865450197 
1208	 0.386012321627138 
1209	 0.386522932143657 
1210	 0.387016382620913 
1211	 0.387503224186613 
1212	 0.387958182997455 
1213	 0.38843019849233 
1214	 0.388917232935965 
1215	 0.389386844614267 
1216	 0.389850819026334 
1217	 0.390322356756667 
1218	 0.390764985578948 
1219	 0.391187471623329 
1220	 0.391604524879107 
1221	 0.392004580216528 
1222	 0.392408535631808 
1223	 0.392813555890033 
1224	 0.393199602442124 
1225	 0.3935777806527 
1226	 0.393948500404038 
1227	 0.394302875588653 
1228	 0.394653801508409 
1229	 0.394992663794683 
1230	 0.395340908117917 
1231	 0.395702291305887 
1232	 0.396038422515805 
1233	 0.396365307553155 
1234	 0.39669610502335 
1235	 0.397005830715539 
