Wavelength	LMW_13_a00001.asd
927	 0.140146659262028 
928	 0.14052117294899 
929	 0.140874607310509 
930	 0.141206062123368 
931	 0.141512789428192 
932	 0.14173279873088 
933	 0.142064017418328 
934	 0.142462109546402 
935	 0.142830158777213 
936	 0.143155715736679 
937	 0.143481870262187 
938	 0.143837251969586 
939	 0.144227036280654 
940	 0.144604984174609 
941	 0.1449711579709 
942	 0.145370333223731 
943	 0.145828004638514 
944	 0.146231131457199 
945	 0.146573392160366 
946	 0.146932403727038 
947	 0.147366969251494 
948	 0.147672038402651 
949	 0.148091876031358 
950	 0.148605839768568 
951	 0.149061164177971 
952	 0.149442655884279 
953	 0.149863853740037 
954	 0.150282575736973 
955	 0.150622635756845 
956	 0.151153078598605 
957	 0.151669105447094 
958	 0.152059472872701 
959	 0.15234767389947 
960	 0.152802901566171 
961	 0.153331441996903 
962	 0.153900340706852 
963	 0.154494390482825 
964	 0.154874585929507 
965	 0.155369888484693 
966	 0.155917411607867 
967	 0.156260203240717 
968	 0.156824365962316 
969	 0.157332570686214 
970	 0.157749988213224 
971	 0.158226776045841 
972	 0.158745334460374 
973	 0.159237295594614 
974	 0.159716388599067 
975	 0.160241682335556 
976	 0.160753171061413 
977	 0.161339737623897 
978	 0.161865311614297 
979	 0.162169466730709 
980	 0.162826097505899 
981	 0.163396769221824 
982	 0.163861371720561 
983	 0.164449666137205 
984	 0.164985806825365 
985	 0.165569366227913 
986	 0.166082247493306 
987	 0.166387918157199 
988	 0.166895997038 
989	 0.167442444572388 
990	 0.16800022887403 
991	 0.16860201154823 
992	 0.169157396919304 
993	 0.16968118192772 
994	 0.170258514964004 
995	 0.170933910365429 
996	 0.171494949568588 
997	 0.171971556539423 
998	 0.172437070194138 
999	 0.172983906394322 
1000	 0.173727437786209 
1001	 0.173692673112143 
1002	 0.174204846172392 
1003	 0.174678029887015 
1004	 0.175177189287365 
1005	 0.175685265627304 
1006	 0.176148757152619 
1007	 0.176580796642707 
1008	 0.177074814698303 
1009	 0.177550584786726 
1010	 0.178054005002001 
1011	 0.178618285540562 
1012	 0.17917408988741 
1013	 0.179630800183325 
1014	 0.180100869423414 
1015	 0.180583076253002 
1016	 0.180993215890709 
1017	 0.181441365348304 
1018	 0.181903630293622 
1019	 0.182378496051922 
1020	 0.18285612854676 
1021	 0.183336317687852 
1022	 0.183797167926143 
1023	 0.184222953396868 
1024	 0.184600824141222 
1025	 0.185011664923975 
1026	 0.185421351756611 
1027	 0.185810467963465 
1028	 0.186170027184103 
1029	 0.186488446997835 
1030	 0.186824484994234 
1031	 0.187151061467873 
